Nummer,Nomen,Bedeutung
1,Standort,
2,Vertrag,
3,Betroffene,
4,Vertragsinhalte,
5,VertragsÃ¤nderung,
6,Ãœbersichten,
7,Zugriff,
8,Auswertungen,
9,TerminÃ¼berwachung,
10,FristÃ¼berwachung,
11,Mandant,
12,Workflowengine,
13,Benachrichtigungswesen,
14,Vertragsverwaltungssoftware,
15,Dokumentenverwaltung,
16,Organisationseinheiten,
17,Besitzer,
18,MandantenÃ¼bergreifend,
19,Vorstand,Organisationseinheiten
20,Servicecenter,Organisationseinheiten
21,IT,Organisationseinheiten
22,Kosten,
23,Kostenstellen,
24,Vertragsarten,
25,SupportvertrÃ¤ge,
26,MietvertrÃ¤ge,
27,KooperationsvertrÃ¤ge,
28,Untergliederung,
29,Kostenarten,
30,EDV-VertrÃ¤ge,
31,TelekommunikationsvertrÃ¤ge,
32,Ãœberwachung,
33,Benachrichtigungsfunktion,
34,Eskalationsmanagement,
35,Benachrichtigung,
36,automatisch erstellte E-Mail,
37,Dispatcherfunktion,
38,Mitarbeiterzuordnung,
39,Eskalationsstufen,
40,Personen,
41,AufgabenausÃ¼bung,
42,Deligiert,
43,Aufgaben,
44,Berechtigungen,
45,Technischer Betrieb,Aufgaben
46,MandatenÃ¼bergreifen,
47,Ãœbersicht,
48,RahmenvertrÃ¤ge,
49,EinzelvertrÃ¤ge,
50,Berichtswesen,
51,ExportmÃ¶glichkeit,
52,Dokumente,
53,Fundortverwaltung,
54,Originale,
55,Vertragsabschluss,
56,Anlage,
57,Vertragsinhaber,
58,Bearbeitungsstatus,
59,Recht,
60,Pflichtfelder,
61,Vertragsmanagement,
62,Zuordnung,
63,Vertragsname,
64,Koordinator,
65,Status,
66,Liste,
67,Aufgabe,
68,Vertragsanlage,
69,Mailbenachrichtigung,
70,Anmelden,
71,System,
72,Detailansicht,
73,Dispatcher,
74,Link,
75,VollstÃ¤ndigkeit,
76,Speichern,
77,Bedingung,
78,Kopie,
79,Hochladen,
80,Dokument,
81,Programm,
82,Eingabe,
83,Zeitpunkt,
84,Aufgabenfenster,
85,Inhaber,
86,Sonderfall,
87,Ablauf,
88,AbsÃ¤tze,
89,Stelle,
90,Software,
91,Zuweisung,
92,MÃ¶glichkeit,
93,Flag,
94,Standardauswertung,
95,Leserechte,
96,Stammdaten,
97,Administrator,
98,Benutzer,
99,Rollen,
100,Rechte,
101,Parameter,
102,Suchkriterien,
103,Ansicht,
104,Bearbeitung,
105,AbstÃ¤nde,
106,Task,
107,Erinnerungstermin,
